<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
26/09/23;000000;252.2;257.17;250.9;255.87;42923170
27/09/23;000000;256.26;257.85;254.63;256.1;27795730
28/09/23;000000;256.22;258.25;255.5;257.67;26289900
29/09/23;000000;257.99;262.59;256.71;260.72;68503050
02/10/23;000000;261.38;261.92;257.03;258.98;35447350
03/10/23;000000;258.99;260.5;257.23;259.65;23815150
04/10/23;000000;259;260.39;258.24;259.53;18510890
05/10/23;000000;260.71;261.39;258.26;259.38;23254560
06/10/23;000000;259.77;263.4;257.86;262.93;31980230
09/10/23;000000;263.02;265.97;263;265.25;45189600
10/10/23;000000;264.9;265.18;257;263;33744090
11/10/23;000000;263.18;263.99;259.5;260.21;29440350
12/10/23;000000;260.03;264.5;259.66;264.5;27421510
13/10/23;000000;264.75;265.04;262.7;263.51;18351530
16/10/23;000000;263.99;269.2;263.51;268.15;53677710
17/10/23;000000;268.25;271.97;266.91;270;51107660
18/10/23;000000;270;271.19;266.11;267.9;40249640
19/10/23;000000;267.14;271;266.28;268.65;33466930
20/10/23;000000;268.5;270.3;266.5;269.8;32851790
23/10/23;000000;270.47;274.1;269.65;270.1;62301840
24/10/23;000000;270.03;272.06;268.62;271.27;27975250
25/10/23;000000;271.5;274.96;270.53;273.73;41764060
26/10/23;000000;274.1;276;269.12;269.9;59466100
27/10/23;000000;270;271.98;266.8;269.7;49735190
30/10/23;000000;269.9;271.55;268.6;269.89;33261680
31/10/23;000000;269.91;270.5;266.87;268.35;26117980
01/11/23;000000;268.29;270.3;267.6;269.68;20587810
02/11/23;000000;270.01;270.98;268.5;269.06;25499750
03/11/23;000000;269.07;269.78;267.2;268.54;20968810
06/11/23;000000;269;273.87;268.62;273.42;29231770
07/11/23;000000;273.08;274.78;272.2;273.31;32183320
08/11/23;000000;273.53;278.35;273.28;278.15;58000060
09/11/23;000000;278.6;278.85;276.02;276.65;28258660
10/11/23;000000;276.99;281.3;276.6;280.19;44600220
13/11/23;000000;280.4;284.8;280.32;283.97;45780320
14/11/23;000000;283.66;283.88;280.54;280.87;40350240
15/11/23;000000;280.87;283.93;278.51;282.89;41784490
16/11/23;000000;282.4;283.69;279.56;279.7;24654700
17/11/23;000000;279.69;282.5;278.66;281.6;31282610
20/11/23;000000;281.8;284.2;281.61;282.91;25219810
21/11/23;000000;282.29;283.82;281.66;282.79;19027720
22/11/23;000000;283.14;286.67;282.85;286.16;47267490
23/11/23;000000;286.16;287.77;285.04;286.19;27692900
24/11/23;000000;286.48;287.5;285.11;286.85;26019540
27/11/23;000000;287.41;289;278.88;282.33;79026910
28/11/23;000000;282.4;282.51;277.32;279.91;45475110
